Cost_Center_ID,Cost_Center_Code,Cost_Center_Name,Department,Parent_Cost_Center,Manager_ID,Plant,Area,Budget_Type,Annual_Budget_USD,Currency,Start_Date,End_Date,Status,Notes
CC-00001,CC-MNT-001,Maintenance Cost Center 001,Maintenance,,EMP-000001,Plant-01,Roasting,CAPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00002,CC-PRD-002,Production Cost Center 002,Production,,EMP-000002,Plant-01,Mixing,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00003,CC-QLT-003,Quality Cost Center 003,Quality,,EMP-000003,Plant-01,Refining,CAPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00004,CC-WHS-004,Warehouse Cost Center 004,Warehouse,,EMP-000004,Plant-01,Conching,OPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00005,CC-SCM-005,Supply Chain Cost Center 005,Supply Chain,,EMP-000005,Plant-01,Tempering,Mixed,250000,USD,2020-01-01,2025-12-31,Active,
CC-00006,CC-UTL-006,Utilities Cost Center 006,Utilities,,EMP-000006,Plant-01,Molding,OPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00007,CC-SLS-007,Sales Cost Center 007,Sales,,EMP-000007,Plant-01,Cooling,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00008,CC-HR-008,Human Resources Cost Center 008,Human Resources,,EMP-000008,Plant-01,Packaging,OPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00009,CC-FIN-009,Finance Cost Center 009,Finance,,EMP-000009,Plant-01,Utilities,Mixed,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00010,CC-ENG-010,Engineering Cost Center 010,Engineering,,EMP-000010,Plant-01,Administration,Mixed,250000,USD,2020-01-01,2025-12-31,Active,
CC-00011,CC-MNT-011,Maintenance Cost Center 011,Maintenance,CC-00001,EMP-000011,Plant-01,Roasting,OPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00012,CC-PRD-012,Production Cost Center 012,Production,CC-00002,EMP-000012,Plant-01,Mixing,Mixed,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00013,CC-QLT-013,Quality Cost Center 013,Quality,CC-00003,EMP-000013,Plant-01,Refining,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00014,CC-WHS-014,Warehouse Cost Center 014,Warehouse,CC-00004,EMP-000014,Plant-01,Conching,Mixed,250000,USD,2020-01-01,2025-12-31,Active,
CC-00015,CC-SCM-015,Supply Chain Cost Center 015,Supply Chain,CC-00005,EMP-000015,Plant-01,Tempering,CAPEX,100000,USD,2020-01-01,2025-12-31,Active,
CC-00016,CC-UTL-016,Utilities Cost Center 016,Utilities,CC-00006,EMP-000016,Plant-01,Molding,Mixed,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00017,CC-SLS-017,Sales Cost Center 017,Sales,CC-00007,EMP-000017,Plant-01,Cooling,CAPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00018,CC-HR-018,Human Resources Cost Center 018,Human Resources,CC-00008,EMP-000018,Plant-01,Packaging,OPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00019,CC-FIN-019,Finance Cost Center 019,Finance,CC-00009,EMP-000019,Plant-01,Utilities,CAPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00020,CC-ENG-020,Engineering Cost Center 020,Engineering,CC-00010,EMP-000020,Plant-01,Administration,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00021,CC-MNT-021,Maintenance Cost Center 021,Maintenance,CC-00001,EMP-000021,Plant-01,Roasting,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00022,CC-PRD-022,Production Cost Center 022,Production,CC-00002,EMP-000022,Plant-01,Mixing,Mixed,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00023,CC-QLT-023,Quality Cost Center 023,Quality,CC-00003,EMP-000023,Plant-01,Refining,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00024,CC-WHS-024,Warehouse Cost Center 024,Warehouse,CC-00004,EMP-000024,Plant-01,Conching,CAPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00025,CC-SCM-025,Supply Chain Cost Center 025,Supply Chain,CC-00005,EMP-000025,Plant-01,Tempering,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00026,CC-UTL-026,Utilities Cost Center 026,Utilities,CC-00006,EMP-000026,Plant-01,Molding,OPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00027,CC-SLS-027,Sales Cost Center 027,Sales,CC-00007,EMP-000027,Plant-01,Cooling,OPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00028,CC-HR-028,Human Resources Cost Center 028,Human Resources,CC-00008,EMP-000028,Plant-01,Packaging,CAPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00029,CC-FIN-029,Finance Cost Center 029,Finance,CC-00009,EMP-000029,Plant-01,Utilities,CAPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00030,CC-ENG-030,Engineering Cost Center 030,Engineering,CC-00010,EMP-000030,Plant-01,Administration,OPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00031,CC-MNT-031,Maintenance Cost Center 031,Maintenance,CC-00001,EMP-000031,Plant-01,Roasting,OPEX,2500000,USD,2020-01-01,2025-12-31,Active,
CC-00032,CC-PRD-032,Production Cost Center 032,Production,CC-00002,EMP-000032,Plant-01,Mixing,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00033,CC-QLT-033,Quality Cost Center 033,Quality,CC-00003,EMP-000033,Plant-01,Refining,CAPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00034,CC-WHS-034,Warehouse Cost Center 034,Warehouse,CC-00004,EMP-000034,Plant-01,Conching,Mixed,250000,USD,2020-01-01,2025-12-31,Active,
CC-00035,CC-SCM-035,Supply Chain Cost Center 035,Supply Chain,CC-00005,EMP-000035,Plant-01,Tempering,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00036,CC-UTL-036,Utilities Cost Center 036,Utilities,CC-00006,EMP-000036,Plant-01,Molding,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00037,CC-SLS-037,Sales Cost Center 037,Sales,CC-00007,EMP-000037,Plant-01,Cooling,CAPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00038,CC-HR-038,Human Resources Cost Center 038,Human Resources,CC-00008,EMP-000038,Plant-01,Packaging,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00039,CC-FIN-039,Finance Cost Center 039,Finance,CC-00009,EMP-000039,Plant-01,Utilities,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00040,CC-ENG-040,Engineering Cost Center 040,Engineering,CC-00010,EMP-000040,Plant-01,Administration,CAPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00041,CC-MNT-041,Maintenance Cost Center 041,Maintenance,CC-00001,EMP-000041,Plant-01,Roasting,OPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00042,CC-PRD-042,Production Cost Center 042,Production,CC-00002,EMP-000042,Plant-01,Mixing,CAPEX,50000,USD,2020-01-01,2025-12-31,Active,
CC-00043,CC-QLT-043,Quality Cost Center 043,Quality,CC-00003,EMP-000043,Plant-01,Refining,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00044,CC-WHS-044,Warehouse Cost Center 044,Warehouse,CC-00004,EMP-000044,Plant-01,Conching,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00045,CC-SCM-045,Supply Chain Cost Center 045,Supply Chain,CC-00005,EMP-000045,Plant-01,Tempering,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00046,CC-UTL-046,Utilities Cost Center 046,Utilities,CC-00006,EMP-000046,Plant-01,Molding,CAPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00047,CC-SLS-047,Sales Cost Center 047,Sales,CC-00007,EMP-000047,Plant-01,Cooling,Mixed,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00048,CC-HR-048,Human Resources Cost Center 048,Human Resources,CC-00008,EMP-000048,Plant-01,Packaging,Mixed,250000,USD,2020-01-01,2025-12-31,Active,
CC-00049,CC-FIN-049,Finance Cost Center 049,Finance,CC-00009,EMP-000049,Plant-01,Utilities,OPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00050,CC-ENG-050,Engineering Cost Center 050,Engineering,CC-00010,EMP-000050,Plant-01,Administration,CAPEX,1000000,USD,2020-01-01,2025-12-31,Active,
CC-00051,CC-MNT-051,Maintenance Cost Center 051,Maintenance,CC-00001,EMP-000051,Plant-01,Roasting,CAPEX,500000,USD,2020-01-01,2025-12-31,Active,
CC-00052,CC-PRD-052,Production Cost Center 052,Production,CC-00002,EMP-000052,Plant-01,Mixing,Mixed,100000,USD,2020-01-01,2025-12-31,Active,
CC-00053,CC-QLT-053,Quality Cost Center 053,Quality,CC-00003,EMP-000053,Plant-01,Refining,CAPEX,250000,USD,2020-01-01,2025-12-31,Active,
CC-00054,CC-WHS-054,Warehouse Cost Center 054,Warehouse,CC-00004,EMP-000054,Plant-01,Conching,OPEX,250000,USD,2020-01-01,2025-12-31,Active,
