GL_Account_ID,GL_Account_No,Account_Name,Account_Type,Account_Category,Cost_Center_ID,Parent_Account,Currency,Normal_Balance,Financial_Statement,Is_Posting_Allowed,Tax_Code,Status,Created_Date,Notes
GL-000001,100001,Cash 0001,Asset,Current Asset,CC-00001,,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000002,110002,Accounts Receivable 0002,Asset,Current Asset,CC-00002,,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000003,120003,Inventory 0003,Asset,Current Asset,CC-00003,,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000004,130004,Fixed Assets 0004,Asset,Non Current Asset,CC-00004,,USD,Debit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000005,200005,Accounts Payable 0005,Liability,Current Liability,CC-00005,,USD,Credit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000006,300006,Equity 0006,Equity,Equity,CC-00006,,USD,Credit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000007,400007,Sales Revenue 0007,Revenue,Operating Revenue,CC-00007,,USD,Credit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000008,500008,Cost of Goods Sold 0008,Expense,COGS,CC-00008,,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000009,510009,Production Cost 0009,Expense,Manufacturing,CC-00009,,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000010,520010,Maintenance Expense 0010,Expense,Maintenance,CC-00010,,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000011,530011,Utilities Expense 0011,Expense,Utilities,CC-00011,,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000012,540012,Quality Expense 0012,Expense,Quality,CC-00012,,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000013,550013,Warehouse Expense 0013,Expense,Warehouse,CC-00013,,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000014,560014,Sales Expense 0014,Expense,Sales,CC-00014,,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000015,570015,Administrative Expense 0015,Expense,Administration,CC-00015,,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000016,100016,Cash 0016,Asset,Current Asset,CC-00016,GL-000015,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000017,110017,Accounts Receivable 0017,Asset,Current Asset,CC-00017,GL-000001,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000018,120018,Inventory 0018,Asset,Current Asset,CC-00018,GL-000002,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000019,130019,Fixed Assets 0019,Asset,Non Current Asset,CC-00019,GL-000003,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000020,200020,Accounts Payable 0020,Liability,Current Liability,CC-00020,GL-000004,USD,Credit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000021,300021,Equity 0021,Equity,Equity,CC-00021,GL-000005,USD,Credit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000022,400022,Sales Revenue 0022,Revenue,Operating Revenue,CC-00022,GL-000006,USD,Credit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000023,500023,Cost of Goods Sold 0023,Expense,COGS,CC-00023,GL-000007,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000024,510024,Production Cost 0024,Expense,Manufacturing,CC-00024,GL-000008,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000025,520025,Maintenance Expense 0025,Expense,Maintenance,CC-00025,GL-000009,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000026,530026,Utilities Expense 0026,Expense,Utilities,CC-00026,GL-000010,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000027,540027,Quality Expense 0027,Expense,Quality,CC-00027,GL-000011,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000028,550028,Warehouse Expense 0028,Expense,Warehouse,CC-00028,GL-000012,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000029,560029,Sales Expense 0029,Expense,Sales,CC-00029,GL-000013,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000030,570030,Administrative Expense 0030,Expense,Administration,CC-00030,GL-000014,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000031,100031,Cash 0031,Asset,Current Asset,CC-00031,GL-000015,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000032,110032,Accounts Receivable 0032,Asset,Current Asset,CC-00032,GL-000001,USD,Debit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000033,120033,Inventory 0033,Asset,Current Asset,CC-00033,GL-000002,USD,Debit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000034,130034,Fixed Assets 0034,Asset,Non Current Asset,CC-00034,GL-000003,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000035,200035,Accounts Payable 0035,Liability,Current Liability,CC-00035,GL-000004,USD,Credit,Balance Sheet,Yes,TX0,Active,2020-01-01,
GL-000036,300036,Equity 0036,Equity,Equity,CC-00036,GL-000005,USD,Credit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000037,400037,Sales Revenue 0037,Revenue,Operating Revenue,CC-00037,GL-000006,USD,Credit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000038,500038,Cost of Goods Sold 0038,Expense,COGS,CC-00038,GL-000007,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000039,510039,Production Cost 0039,Expense,Manufacturing,CC-00039,GL-000008,USD,Debit,Income Statement,Yes,TX5,Active,2020-01-01,
GL-000040,520040,Maintenance Expense 0040,Expense,Maintenance,CC-00040,GL-000009,USD,Debit,Income Statement,Yes,EXEMPT,Active,2020-01-01,
GL-000041,530041,Utilities Expense 0041,Expense,Utilities,CC-00041,GL-000010,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000042,540042,Quality Expense 0042,Expense,Quality,CC-00042,GL-000011,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000043,550043,Warehouse Expense 0043,Expense,Warehouse,CC-00043,GL-000012,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000044,560044,Sales Expense 0044,Expense,Sales,CC-00044,GL-000013,USD,Debit,Income Statement,Yes,TX14,Active,2020-01-01,
GL-000045,570045,Administrative Expense 0045,Expense,Administration,CC-00045,GL-000014,USD,Debit,Income Statement,Yes,TX0,Active,2020-01-01,
GL-000046,100046,Cash 0046,Asset,Current Asset,CC-00046,GL-000015,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000047,110047,Accounts Receivable 0047,Asset,Current Asset,CC-00047,GL-000001,USD,Debit,Balance Sheet,Yes,EXEMPT,Active,2020-01-01,
GL-000048,120048,Inventory 0048,Asset,Current Asset,CC-00048,GL-000002,USD,Debit,Balance Sheet,Yes,TX14,Active,2020-01-01,
GL-000049,130049,Fixed Assets 0049,Asset,Non Current Asset,CC-00049,GL-000003,USD,Debit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000050,200050,Accounts Payable 0050,Liability,Current Liability,CC-00050,GL-000004,USD,Credit,Balance Sheet,Yes,TX5,Active,2020-01-01,
GL-000051,300051,Equity 0051,Equity,Equity,CC-00051,GL-000005,USD,Credit,Balance Sheet,Yes,TX0,Active,2020-01-01,
